,Mashup,k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10
0,http://www.programmableweb.com/mashup/theonespy,0.3333333333333334,0.22060113295832987,0.14706742197221992,0.11030056647916493,0.08824045318333194,0.07902922619855839,0.06773933674162147,0.059271919648918786,0.05268615079903892,0.047417535719135026
1,http://www.programmableweb.com/mashup/bitcoin-atm,0.4999999999999999,0.5610042339640731,0.3740028226427154,0.3437397220481076,0.30860985083414405,0.25717487569512004,0.24364248216977943,0.23885439879833364,0.2536630291957883,0.2282967262762095
2,http://www.programmableweb.com/mashup/local-rvs,0.25,0.25,0.16666666666666666,0.14453125,0.115625,0.09635416666666667,0.08258928571428571,0.0859375,0.08256172839506173,0.07430555555555556
3,http://www.programmableweb.com/mashup/going-out-paris,1.0,0.5728144539877679,0.3818763026585119,0.3139103425983917,0.2720636013989316,0.22671966783244302,0.2089324082299748,0.19158872525007825,0.17791860899614334,0.160126748096529
4,http://www.programmableweb.com/mashup/magic-mosaic,0.1111111111111111,0.10044515010512331,0.09221549590330962,0.09444371965682888,0.0755549757254631,0.06296247977121926,0.06449079235044626,0.068900933035816,0.07315690355447718,0.07483022632770625
5,http://www.programmableweb.com/mashup/moves-geojson,1.0,0.8017766952966369,0.8353074392184854,0.7773689270621824,0.7001794128972079,0.6555163326153156,0.6368918614953772,0.6225306169870524,0.6110891316851605,
6,http://www.programmableweb.com/mashup/windshield-repair-tech,1.0,0.5,0.3333333333333333,0.25,0.22999999999999998,0.2249821871421603,0.23302368004519217,0.23422291317883953,0.23203646183530058,
7,http://www.programmableweb.com/mashup/uber-calculator-statistics,0.0,0.1111111111111111,0.12283320670102689,0.09212490502577017,0.09791987843298582,0.08159989869415485,0.06994277030927558,0.07978801829536794,0.07092268292921594,0.06383041463629435
8,http://www.programmableweb.com/mashup/weglore-geotag-photos-geo-news,0.3333333333333334,0.3937287392826324,0.2624858261884216,0.24005462349487844,0.21147075220430311,0.1941185173668746,0.16638730060017823,0.14558888802515596,0.14069521074820804,0.13492108432366415
9,http://www.programmableweb.com/mashup/99designs-tasks-slack-bot,1.0,0.5,0.3333333333333333,0.2671004248593737,0.22841640786499876,0.19034700655416562,0.1631545770464277,0.15070911388458735,0.13944585702857473,0.13377244826437704
10,http://www.programmableweb.com/mashup/online-basketball-camp,0.0,0.015625,0.010416666666666666,0.015625,0.0125,0.0187993526471288,0.016113730840396114,0.02076790034935655,0.01846035586609471,0.01661432027948524
11,http://www.programmableweb.com/mashup/criminaldatabase,0.1111111111111111,0.13124291309421082,0.08749527539614055,0.09495996259843589,0.1014112806182669,0.10680799579729523,0.12152098547207493,0.10633086228806557,0.10939432644392005,0.09845489379952806
12,http://www.programmableweb.com/mashup/collection-trakr,0.08333333333333336,0.07030409727586426,0.14267362354394844,0.1607361149558157,0.1459675721374605,0.12163964344788375,0.11545130413533565,0.10101989111841869,0.09733556837464784,0.08760201153718306
13,http://www.programmableweb.com/mashup/detective,0.4999999999999999,0.24999999999999994,0.16666666666666663,0.16272208691207957,0.13017766952966364,0.10848139127471972,0.13802704519846482,0.1529714797327164,0.1675877371917951,0.1508289634726156
14,http://www.programmableweb.com/mashup/gemerald-search-engine,0.3333333333333334,0.5610042339640732,0.553486719492761,0.5473247315977214,0.43785978527817715,0.43753190638877015,0.37502734833323154,0.40156565811578493,0.4273012098405652,0.3845710888565087
15,http://www.programmableweb.com/mashup/profile-feeder,0.0,0.0,0.0,0.0,0.003333333333333334,0.0055720064379318245,0.010882757686893991,0.016151020105167696,0.014356462315704619,0.018413124646780847
16,http://www.programmableweb.com/mashup/oznewsy,1.0,0.5,0.4166666666666667,0.4100412607362388,0.37074157806728203,0.3089513150560684,0.29660475037102196,0.30969077268472356,0.2752806868308654,0.24775261814777885
17,http://www.programmableweb.com/mashup/bitcoin-checkout,0.3333333333333334,0.37400282264271545,0.24933521509514364,0.2921515514094525,0.23372124112756198,0.22276402836661902,0.207185564729003,0.18128736913787763,0.1738635473619654,0.17076187610300692
